NhietdoN_SONG,pH_N_SONG,Duc_N_SONG,Mau_N_SONG,SS_SONG,EC_N_SONG,Jartest_N_SONG_KN
,6.9,32,,,60.7,22
30.1,6.9,28,,,60,22
29.7,6.9,22,138,8,64.1,20
30.7,6.9,26,,,62,24
,6.9,20,,,61.9,24
30,7,17,123,5,62.9,24
30.7,7,17,,,67.2,22
,7,19,,,63,22
30.1,7,17,142,10,65.1,22
,7,18,,,62.8,22
,7,19,,,64.2,22
30.2,7,13,87,3,63.1,20
,7,16,,,63.1,20
,7,18,,,61.5,20
30.5,7,14,95,4,61.9,20
31.1,7,18,,,64.3,20
,7.1,15,,,62.1,20
31,7,16,110,7,63.8,20
31.4,7,18,,,62.3,20
,7,14,,,63.5,20
30.1,7,15,104,4,61.3,20
,7,15,,,62,20
30.1,7,14,98,6,61.2,20
30.9,7,14,,,61.7,20
,7,14,,,60,20
30.2,7,15,106,6,59.8,20
,7,14,,,60.1,18
30.9,7,15,,,60.8,18
30.1,7.1,18,115,7,58.4,18
31.1,7.1,15,,,59.2,20
30.9,6.9,15,,,61.6,20
30.1,7.1,17,119,10,61.6,22
,7.1,14,,,61.2,22
,7.2,13,,,61.2,22
30.3,7.1,16,106,9,63.7,18
,7.1,12,,,63.4,18
30.5,7.1,12,86,4,65,18
31.5,7.2,10,,,63.4,18
30.6,7.2,11,,,63.7,18
,7.1,10,75,5,64.2,20
31.1,7.1,8,,,62.5,20
,7.1,9,,,63.1,20
30.2,7,7,70,1,66.2,20
31.4,7.1,8,,,64.9,20
,7.1,8,,,65.1,20
30.4,7,8,76,2,64.3,20
30.8,7.1,9,,,64.4,20
30.6,7.1,8,,,63.2,20
30.1,7,8,72,0,65.7,20
31.1,7,9,,,64.3,20
,,8,,,63.8,20
30.3,7.1,8,72,1,63.4,20
31.5,7,,,,65.4,20
31.1,7.1,8,,,64.8,20
30,7,9,83,2,64,20
,7,12,,,69.8,20
,7,10,,,67,20
30.1,7,8,86,1,64.2,22
,7,9,,,66.8,22
,7,9,,,64.9,22
30.2,7.1,9,77,2,64,22
31.1,7,10,,,69,22
30.4,7,10,,,66.2,22
29.9,7,13,110,4,63.3,22
,7.1,10,,,63.5,22
,7.1,10,,,63.6,22
30.6,7,10,102,3,62.3,22
,7.1,9,,,63.9,22
,7.1,11,,,62.6,22
30.4,7,10,88,3,61.1,22
,7.1,8,,,60.7,22
30.5,7,13,,,62,22
30.7,7,14,114,6,60,22
31.2,7,13,,,58.4,22
30.9,7.1,12,,,58.1,22
30.7,7,13,103,5,61.9,20
31.3,7,10,,,60.5,22
31.1,7.1,11,,,62,22
30.4,7,13,102,8,65.6,22
,7,11,,,62.1,22
,7.1,10,,,64.7,22
30.8,7,11,95,4,63.1,22
,7,10,,,62.4,22
,7,9,,,62.1,22
30.4,7,11,100,4,62.4,20
31,7.1,12,,,61.4,20
30.9,7,11,,,62.5,20
29.4,7,13,97,3,64,20
30.7,7,15,,,62,20
30.3,7,12,,,62.6,20
30.5,7,13,103,4,65.8,20
31.2,7,15,,,63.4,20
,,16,,,64.5,20
30.7,7,13,87,3,63,20
31.1,7,21,,,60.8,20
31,7,17,,,60.3,20
30.4,6.9,20,150,7,63.5,22
31.4,6.9,25,,,70.3,22
30.6,6.9,23,,,66.4,22
29.9,6.9,26,185,13,66.6,22
31.2,6.9,28,,,66.8,22
,6.8,26,,,66.4,22
30.4,6.9,25,178,11,63.8,22
32,6.9,23,,,64.4,20
,7,21,,,63.1,20
30.8,6.9,27,179,18,59.8,20
,6.9,22,,,63.1,20
31.2,6.9,20,,,63.3,20
30.9,6.9,30,197,16,58.7,20
31.1,6.9,28,,,62.1,20
30.8,6.9,27,,,62.2,20
29.6,6.9,49,,,57.5,20
30.4,6.9,43,,,61.5,20
30.2,6.7,52,,,64,20
30.5,6.9,47,280,27,61.4,20
30.5,6.9,38,,,62.4,20
30.3,6.9,50,,,62,20
30,6.9,37,204,14,65.7,22
,6.9,33,,,63.5,22
30.4,6.9,27,174,11,64.9,22
30.4,6.9,23,144,9,65.1,20
,6.9,23,,,61.1,20
29.9,6.9,26,163,11,63.4,20
,6.9,24,,,62.6,20
,7,25,,,61.5,20
30.1,7,32,203,16,61.2,20
,6.9,25,,,60.5,20
,6.9,30,,,60.5,20
30.1,6.9,40,,,63.7,20
31,6.9,39,,,65,20
,6.9,34,,,66.3,20
30.5,6.9,41,225,22,73,20
30.5,6.9,36,,,75.9,20
30.1,6.9,31,,,73.6,20
30.1,6.9,33,155,19,66,20
30.6,6.9,36,,,71.7,20
30,6.9,31,,,69.9,20
30,6.8,36,201,15,64.7,22
,6.9,34,,,71,22
30.4,6.8,31,,,70.9,22
30.5,6.9,31,182,12,63.4,20
30.7,6.9,27,,,68.5,20
30.4,6.9,24,,,67.3,20
30.2,6.9,29,171,4,63.3,20
31,6.9,30,,,68.4,20
30.5,6.9,25,,,65.6,20
30.4,6.9,31,221,20,63.5,20
30.5,6.9,30,,,66.1,20
30.6,6.9,33,,,64.5,22
30.4,6.9,32,315,28,63.7,20
,6.9,35,,,64,20
,6.9,34,,,63,20
29.8,6.9,60,372,34,59.8,26
30,6.9,55,,,60.7,26
29.9,6.9,57,,,64.1,26
30,6.9,47,,,58,22
30.6,6.9,45,,,59.7,22
,6.9,60,,,62.8,22
30.2,6.8,50,308,23,60.2,20
31.1,6.9,46,,,59.3,20
30.8,6.9,53,339,41,61.5,20
30.5,6.8,50,274,24,61,20
30.8,6.9,42,,,59.2,20
30.6,6.9,52,299,28,60.8,20
30.2,6.9,54,322,21,59.4,20
31,6.9,49,,,57.5,20
30.9,7,48,,,59.3,20
30.3,6.9,29,201,14,59.2,20
,6.9,30,,,61.2,18
30.4,6.9,28,,,59.1,18
30.2,6.9,26,145,14,60.4,20
,6.9,23,,,60.5,20
,7,25,,,56.9,20
30.1,7,27,183,17,61.1,18
30.2,7,24,,,63.7,18
,7,22,,,59.2,18
29.4,6.9,27,,,60.1,18
,7,35,,,60,18
30.1,7,33,,,58.8,18
29.7,6.9,38,229,18,58.6,20
29.9,6.9,38,,,59.7,20
29.8,6.9,34,,,57.6,20
29.3,6.9,33,194,21,59.6,20
30.3,6.9,49,,,61.1,18
30.3,7,44,,,60.1,18
29.8,6.9,59,383,33,59,18
,6.9,54,,,60,20
29.8,6.9,46,,,59.3,20
28.9,6.9,36,224,17,61.5,18
29.5,6.9,44,,,61.3,18
29.8,6.9,41,262,22,59.8,18
29.5,6.9,45,279,24,60.7,20
,6.9,55,331,33,59.9,20
30.2,6.9,48,,,58.8,20
29.6,6.9,50,311,27,57.8,20
,6.9,62,368,32,59.3,22
30.2,6.9,64,,,57.3,20
29.4,6.9,48,290,27,57.7,20
,6.9,53,,,59,20
,6.9,56,,,56,20
29.3,6.8,94,,,58.6,22
30,6.8,94,,,60.2,22
30,6.8,83,,,59.7,22
29,6.8,65,397,41,62.5,24
30.2,6.8,59,,,63.4,24
29.7,6.9,54,,,63,24
30,6.9,40,238,17,63.8,22
30.6,6.9,38,,,62.9,20
30.4,6.9,37,,,63.8,20
30,6.9,31,196,16,63.6,18
,7,29,,,61.5,18
29.9,7,33,,,61.7,18
29.7,6.9,32,208,14,60.7,18
,6.9,28,,,59,18
29.8,6.9,33,,,60,18
30,6.9,33,247,14,58.3,18
,7,30,,,57.7,18
30.7,7,35,255,15,56.3,18
30.2,7,34,194,17,58.2,18
29.8,7,32,,,57.4,18
30.2,7,36,,,55.7,18
29.7,7,38,245,28,57.1,20
,7,36,,,58.2,20
30.1,6.9,36,,,56.7,18
29.5,6.9,35,,,58,18
29.5,7,56,,,59.7,18
29.6,7,53,,,57.7,18
29.1,6.9,47,258,23,59,20
30.2,6.9,43,,,60.2,20
29.6,7,40,256,18,57.5,20
29.1,6.9,43,248,18,58.5,22
29.2,6.9,61,354,45,60.5,20
29.5,6.9,67,,,57.9,22
28.6,6.9,53,319,26,57.3,22
29.7,6.9,101,590,59,,24
29.2,6.8,103,,,55.8,24
29.1,6.8,89,487,49,54.9,22
,6.8,84,,,53.2,22
29.7,6.9,69,384,35,52.6,22
29.3,6.8,71,414,38,56.6,22
,6.8,71,,,57.3,22
29.9,6.9,65,,,56.8,22
29.5,6.9,62,369,31,58.1,20
30.1,6.9,53,,,57.9,20
30.2,6.9,51,,,60.3,20
29.6,6.9,52,322,26,57.3,20
30.3,6.9,46,,,56.8,20
29.8,6.9,47,,,58.2,20
29.5,6.9,44,283,20,57,20
29.9,6.9,42,,,56.5,20
30.1,6.9,46,,,58.6,20
29.5,6.9,52,,,56.7,18
30,6.9,44,,,56.7,18
29.9,6.9,53,,,59.8,18
29.5,6.9,53,310,23,56.6,18
30.5,6.9,49,,,54.8,18
29.6,6.8,63,367,30,59,18
29.6,6.9,57,333,32,57.1,18
30.5,7,51,,,55.2,20
30.3,6.9,50,,,55.5,20
29.6,6.9,49,302,26,55.5,20
29.7,7,45,,,57.4,20
29.1,6.8,109,726,68,53.1,24
29.8,6.7,118,,,53.7,24
29.4,6.7,124,,,52.2,26
29.2,6.8,100,696,68,55.9,24
,6.9,86,,,57.8,24
29.8,6.8,85,,,54.8,24
29.5,6.9,54,317,23,56.7,20
,6.9,57,,,57,20
,6.9,54,,,55.5,20
29.7,6.8,60,,,56.2,20
30,6.9,54,,,55.7,20
30.5,6.9,50,311,21,55.2,22
29.8,6.9,42,256,17,57.7,20
30.6,6.9,50,,,57.6,20
30.3,6.9,42,,,55.8,20
29.9,6.9,37,218,13,56.3,22
30.4,7,45,,,57.2,18
30.5,6.9,36,,,54.8,18
30,6.9,40,243,17,56.4,18
30,6.9,42,,,56.7,18
30,6.9,41,,,57.5,18
29.5,6.9,50,296,23,56,22
30,6.9,53,,,55.8,22
,6.9,45,,,55,22
29,6.8,49,,,57.5,20
30.1,6.9,53,,,56.3,20
,6.9,63,,,56,20
29,6.9,63,432,46,58.1,20
,6.9,60,,,57.6,20
,6.8,55,,,59.2,22
29.2,6.9,60,348,29,57,20
29.5,6.9,61,,,57.3,20
29.1,6.9,55,,,57.3,20
29.1,6.8,54,,,59.3,20
29.3,6.76,54,,,57.7,22
28.6,6.9,67,,,57.6,22
28.4,6.8,77,,,51.8,20
28.7,6.9,74,,,51.5,20
28.4,6.9,78,,,54.4,20
27.9,6.8,117,756,77,56.1,22
,,91,,,55.6,26
,6.9,89,539,58,58.2,26
28.5,6.8,62,397,36,58,24
29,6.8,50,,,56.4,24
,6.9,55,,,58.8,22
28,6.9,44,318,25,59.2,20
,6.9,39,,,60.4,20
28.3,7,41,,,58.9,22
28.2,6.8,70,429,43,56.3,22
,6.8,72,,,54.3,22
29.2,6.9,67,,,55.3,22
28.4,6.8,66,409,30,54.3,20
29.1,6.8,83,,,54.6,20
29,6.9,77,,,51.7,20
28.2,6.8,114,718,70,49.3,26
,6.8,116,,,53,26
,6.8,105,,,52.3,26
28.3,6.8,83,497,49,58.5,22
28.7,6.9,79,,,57.8,22
28.3,6.9,68,,,54.2,22
28,6.9,64,382,55,56.8,20
27.9,6.9,54,,,57.7,20
27.9,6.8,72,459,70,56.8,20
28.3,6.8,76,,,58.1,22
28.3,6.8,74,,,56,22
27.9,6.8,105,646,97,54.9,24
,6.8,107,,,55.4,24
28.7,6.9,98,,,58.4,26
28.1,6.8,84,490,70,54.7,24
,6.8,85,,,54.4,24
29.6,6.9,82,,,57.1,22
28.3,7,50,315,46,57.3,22
,7,52,,,54.9,22
28.9,6.9,58,,,56.8,20
28.5,7,49,311,30,54.3,18
,7,45,,,54.2,18
28.8,7,56,,,56.5,20
28.5,6.9,45,277,31,54,20
29.1,6.9,42,,,53,20
29.1,7,50,,,56,20
28.3,7,45,,,54,20
29,7,42,,,51.2,20
28.7,7,49,,,54.9,20
28.7,7,51,318,46,53.1,22
28.9,7,50,,,50.9,22
,6.9,52,,,55.2,22
28.4,7,47,275,40,53.6,20
28.5,7,45,,,53.9,20
28.5,6.9,47,,,52.8,20
28.5,7,44,265,38,51.5,20
28.4,7,47,,,52.1,20
28.4,7,50,,,51.9,20
28,6.9,55,,,52,20
28.6,7,58,,,51.7,20
28.8,7,54,,,51.3,20
28.5,7,51,301,40,52.7,20
,7,50,,,52.3,20
,6.9,46,,,52.4,20
28.8,7,52,312,40,52.7,18
,7,62,,,51.9,18
,6.9,55,,,50.2,18
29.2,6.9,57,,,51.2,20
29.6,6.9,61,,,53.3,20
29.3,6.9,48,,,50.4,20
